id,geo,time,advance,totalSessions,organicSearchSessions,channel0_impression,channel1_impression,channel2_impression,channel3_impression,channel4_impression,channel0_spend,channel1_spend,channel2_spend,channel3_spend,channel4_spend
282,National,2025-10-09,680,195390,56155,217242,234400,201814,215514,220767,140000,140000,70000,70000,50000
283,National,2025-10-10,746,169516,50571,240530,201886,224242,226353,241674,140000,140000,70000,70000,50000
284,National,2025-10-11,791,201183,49874,226194,216862,231247,208574,216744,140000,140000,70000,70000,50000
285,National,2025-10-12,678,170875,51323,237068,210479,226212,201390,224944,140000,140000,70000,70000,50000
286,National,2025-10-13,624,179317,62513,219778,226223,230415,213128,206128,140000,140000,70000,70000,50000
287,National,2025-10-14,687,175518,61238,205597,230999,223812,212296,211861,140000,140000,70000,70000,50000
288,National,2025-10-15,681,169533,62484,213493,242927,232678,231929,206399,140000,140000,70000,70000,50000
289,National,2025-10-16,703,170751,58604,232398,224255,218205,203684,202299,140000,140000,70000,70000,50000
290,National,2025-10-17,703,165960,55774,234615,234094,231142,238211,249759,140000,140000,70000,70000,50000
291,National,2025-10-18,689,144552,46175,231380,217800,220124,215434,244122,140000,140000,70000,70000,50000
292,National,2025-10-19,656,152507,49590,204025,229093,220216,229437,233815,140000,140000,70000,70000,50000
293,National,2025-10-20,584,171242,58904,243021,245050,206066,211587,231681,140000,140000,70000,70000,50000
294,National,2025-10-21,638,160780,56316,230686,205175,231831,249802,226046,140000,140000,70000,70000,50000
295,National,2025-10-22,574,156570,55506,237931,240884,211203,222211,233213,140000,140000,70000,70000,50000
296,National,2025-10-23,565,154638,54661,209984,236878,231869,234881,236702,140000,140000,70000,70000,50000
297,National,2025-10-24,725,157737,50428,244282,211044,226684,245094,201623,140000,140000,70000,70000,50000
298,National,2025-10-25,705,152084,48029,246019,227822,247687,219040,215136,140000,140000,70000,70000,50000
299,National,2025-10-26,672,160475,52072,244413,228410,240770,219653,222555,140000,140000,70000,70000,50000
300,National,2025-10-27,700,180286,64086,238912,243431,246156,210636,212587,140000,140000,70000,70000,50000
301,National,2025-10-28,610,171996,57679,204718,229441,201445,226808,216090,140000,140000,70000,70000,50000
302,National,2025-10-29,594,166015,56275,226643,223468,222786,238192,219646,140000,140000,70000,70000,50000
303,National,2025-10-30,652,168593,56108,244656,235550,238433,201653,223316,140000,140000,70000,70000,50000
304,National,2025-10-31,667,168442,55067,227981,210508,232816,206552,203436,140000,140000,70000,70000,50000
305,National,2025-11-01,814,157004,46986,231797,243120,203359,209498,227411,140000,140000,70000,70000,50000
306,National,2025-11-02,740,160680,50819,237698,201167,223788,215682,238189,140000,140000,70000,70000,50000
307,National,2025-11-03,640,180480,60343,237761,240292,249656,204191,239024,140000,140000,70000,70000,50000
308,National,2025-11-04,619,174865,57828,247194,220792,239628,217790,242660,140000,140000,70000,70000,50000
309,National,2025-11-05,618,161987,55222,222959,215121,211886,238841,210003,140000,140000,70000,70000,50000
310,National,2025-11-06,634,179115,57549,216280,246901,217917,210692,240359,140000,140000,70000,70000,50000
311,National,2025-11-07,697,185329,55068,202258,223830,230314,227847,237492,140000,140000,70000,70000,50000
312,National,2025-11-08,810,168237,48957,206506,244056,241174,250000,229304,140000,140000,70000,70000,50000
313,National,2025-11-09,718,171359,52918,243410,223355,202288,213366,210027,140000,140000,70000,70000,50000
314,National,2025-11-10,606,179460,57536,238172,249637,232821,240448,220869,140000,140000,70000,70000,50000
315,National,2025-11-11,578,188681,55013,234058,226393,202601,235960,205408,140000,140000,70000,70000,50000
316,National,2025-11-12,716,193903,52419,242565,232005,215239,249187,232827,140000,140000,70000,70000,50000
317,National,2025-11-13,627,206412,59310,211570,215086,200032,217171,225292,140000,140000,70000,70000,50000
318,National,2025-11-14,620,162983,55478,240430,239975,226247,234206,248082,140000,140000,70000,70000,50000
319,National,2025-11-15,768,158882,48792,249940,210480,209744,204478,215217,140000,140000,70000,70000,50000
320,National,2025-11-16,689,161781,50727,221047,238981,200831,227427,210728,140000,140000,70000,70000,50000
321,National,2025-11-17,659,183338,65994,245618,215359,221896,201781,228496,140000,140000,70000,70000,50000
322,National,2025-11-18,642,168253,57890,229047,207420,216465,211661,230781,140000,140000,70000,70000,50000
323,National,2025-11-19,583,158460,53620,224905,206848,232273,233377,213925,140000,140000,70000,70000,50000
324,National,2025-11-20,635,148688,53537,220127,245153,242016,245425,226744,140000,140000,70000,70000,50000
325,National,2025-11-21,581,156972,54112,220156,233024,210489,222076,218894,140000,140000,70000,70000,50000
326,National,2025-11-22,633,148722,47910,240350,245546,204181,203435,243241,140000,140000,70000,70000,50000
327,National,2025-11-23,650,152341,50139,238587,237496,242636,246810,233627,140000,140000,70000,70000,50000
328,National,2025-11-24,631,173350,62249,204703,208521,211347,200204,243335,140000,140000,70000,70000,50000
329,National,2025-11-25,609,150646,54737,242804,221765,211061,247913,228230,140000,140000,70000,70000,50000
330,National,2025-11-26,624,164128,57256,233988,230442,200156,215244,223726,140000,140000,70000,70000,50000
331,National,2025-11-27,507,156380,55905,225675,217548,234980,206720,243887,140000,140000,70000,70000,50000
332,National,2025-11-28,552,164162,55146,228964,237513,226837,249022,242618,140000,140000,70000,70000,50000
333,National,2025-11-29,670,176947,45991,242066,235955,221814,203516,212843,140000,140000,70000,70000,50000
334,National,2025-11-30,728,189232,52493,231776,239629,242040,210887,236747,140000,140000,70000,70000,50000
335,National,2025-12-01,651,196640,62979,233738,224742,239507,221012,213665,140000,140000,70000,70000,50000
336,National,2025-12-02,624,187939,62296,204179,228945,202082,225226,247659,140000,140000,70000,70000,50000
337,National,2025-12-03,650,187885,59362,208609,221600,230864,234494,202910,140000,140000,70000,70000,50000
338,National,2025-12-04,597,185899,58085,243053,228538,222270,230745,203242,140000,140000,70000,70000,50000
339,National,2025-12-05,627,171342,56037,233843,247588,224841,215408,211289,140000,140000,70000,70000,50000
340,National,2025-12-06,642,163135,48535,248337,228580,217212,201110,210543,140000,140000,70000,70000,50000
341,National,2025-12-07,665,173438,53685,230672,229218,245082,210622,237680,140000,140000,70000,70000,50000
342,National,2025-12-08,624,197111,65012,210828,237203,230235,229414,211287,140000,140000,70000,70000,50000
343,National,2025-12-09,519,174346,58119,232504,206838,215360,200174,203318,140000,140000,70000,70000,50000
344,National,2025-12-10,574,166486,58747,238192,240242,202700,204900,249115,140000,140000,70000,70000,50000
345,National,2025-12-11,582,165698,58836,237550,217551,230010,234466,206601,140000,140000,70000,70000,50000
346,National,2025-12-12,570,167279,55759,218520,211763,203136,247869,236410,140000,140000,70000,70000,50000
347,National,2025-12-13,577,159686,48692,213959,209204,229006,224080,235344,140000,140000,70000,70000,50000
348,National,2025-12-14,615,162625,49849,217190,212561,227300,225111,202596,140000,140000,70000,70000,50000
349,National,2025-12-15,620,171597,62431,217473,245070,201937,224910,220464,140000,140000,70000,70000,50000
350,National,2025-12-16,571,174521,62699,223456,200491,246189,200542,242294,140000,140000,70000,70000,50000
351,National,2025-12-17,590,179855,60397,206317,210434,224806,208056,222843,140000,140000,70000,70000,50000
352,National,2025-12-18,623,179316,58968,227490,209588,201450,244120,207313,140000,140000,70000,70000,50000
353,National,2025-12-19,572,173740,56702,241943,216811,212208,237562,248136,140000,140000,70000,70000,50000
354,National,2025-12-20,561,145472,45910,214764,223417,212903,241622,206414,140000,140000,70000,70000,50000
355,National,2025-12-21,513,147362,47291,245668,202270,234557,209110,218582,140000,140000,70000,70000,50000
356,National,2025-12-22,578,172066,61218,248157,226122,243356,239553,231857,140000,140000,70000,70000,50000
357,National,2025-12-23,547,168977,59730,209312,221631,237605,225073,230011,140000,140000,70000,70000,50000
358,National,2025-12-24,578,172871,55096,213633,213124,218316,210729,244739,140000,140000,70000,70000,50000
359,National,2025-12-25,588,168542,47372,235305,205183,220075,211019,233391,140000,140000,70000,70000,50000
360,National,2025-12-26,565,203508,55493,217556,248648,208860,227418,219351,140000,140000,70000,70000,50000
361,National,2025-12-27,652,174236,49365,245922,238778,216852,211637,203555,140000,140000,70000,70000,50000
362,National,2025-12-28,641,166025,50304,213610,235667,226872,214145,214773,140000,140000,70000,70000,50000
363,National,2025-12-29,600,176913,63131,237563,219349,201021,224097,215442,140000,140000,70000,70000,50000
364,National,2025-12-30,561,169006,57939,208923,204390,239684,244660,209018,140000,140000,70000,70000,50000
365,National,2025-12-31,604,140104,48564,246857,200929,237909,232139,241536,140000,140000,70000,70000,50000


